new_rank	docid	title_snippet
1	G1	apple aapl iphone subcontractor rocked by worker riot apple inc aapl is facing a disruption to its international supply chain as a result of a largescale riot at an iphone assembly plant in india owned by one of its
2	G1	facebookapple skirmish is the latest in a fight that stretches back more than a decade facebook launched a campaign last week blasting apples decision to prompt iphone users to disable apps from tracking their personal data
3	B2	perpetual ltd has million stock position in apple inc nasdaqaapl perpetual ltd increased its holdings in shares of apple inc nasdaqaapl by in the quarter according to its
4	B4	bold prediction general motors is the next apple stock for investors saying that general motors nyse gm is the next apple may sound insane right now given how successful the tech titans turnaround was but i think were seeing the early days of a massive
5	G4	tim cook takes a swipe at big tech rivals and their lack of responsibility tim cook said in a podcast released wednesday that apple is different from other silicon valley giants shirking their responsibility on issues like misinformation
6	G5	techs top seven companies added trillion in value in big tech got much bigger in and tesla joined the pack of megacap tech stocks after climbing ninefold
7	G5	iphone maker slides after riot spurs apple to suspend business wistron corp apple incs main iphone assembler in india slid as much as after the us tech giant placed it on probation for lapses in labor practices that
8	B6	not all big tech stocks will soar in says gene munster he breaks down faang companies that will continue to gain and that will lag gene munster told cnbc apple shares could rise to propelling the tech giant to a trillion valuation
9	B6	aspen investment management inc acquires shares of apple inc nasdaqaapl aspen investment management inc boosted its holdings in shares of apple inc nasdaqaapl by in the quarter
10	G6	this week in apple foldable iphone tests airpods pro and more rumors want to know the latest exciting apple news from the past week check out our apple news roundup for the week ending january
11	B7	why apple rose in december shares of apple nasdaqaapl climbed in december according to data provided by sp global market intelligence the
12	G7	while apple loses copyright claims against virtual iphone maker corellium the company may have violated the copyright act dmca its being reported today that lost its copyright claims against florida company corellium that makes virtual iphones used by security researchers to test for
13	G7	a landmark year of giving from apple how apple recorded a landmark year in giving while helping nonprofits worldwide meet biggest challenges
14	B8	samsungs upcoming galaxy could beat apple to the punch with one small feature weve been waiting patiently for apple to drop its device tracking hardware for nearly two years but samsung might win the
15	B8	with or without apple partnership nio is still a new year buy apple could potentially choose nio as its strategic partner to make evs with or without the tech company however nio stock
16	G8	the apple watch se was my best purchase in heres why business insider the fitness tools customization options and audio control were the most useful features
17	G8	facebook attacks apple software changes in newspaper ads facebook inc lashed out at apple inc in a series of fullpage newspaper ads claiming the iphone makers coming mobile software changes around data
18	B10	news for earth science tech inc stock quotes by finanzennet earth science tech inc etst announces that the receiver has ended the claims period transitioning to the reorganization phase on increasing company value find news go
19	B10	enterprise wearable market is booming worldwide with apple inc alphabet inc adidas ag eurotech the latest research study released by ama covid outbreak global enterprise wearable market with pages of analysis on business strategy taken up by key and emerging industry players and delivers
20	B11	years of tech with jeff from green imacs and dvds to the iphone era jefferson graham has covered tech for usa today since and has seen shifts from laptops to little memory to terabyte
21	B12	best of the best apple dental center inc has been serving corpus christi for years the practices doctors are britt v barwise and timothy w wanek they have been the same dentists at the practice for more
22	G12	vw chief sees cashrich tech competitors like apple as major threat volkswagen ag ceo herbert diess fears more from competition in the auto industry with cashrich technology giants like apple inc than he does from legacy
23	G13	exclusive apple targets car production by and eyes next level battery technology sources reuters apple inc is moving forward with selfdriving car technology and is targeting to produce a passenger vehicle that could include its own
24	B14	acadia healthcare company inc moodys acadia healthcares proposed sale of uk business is credit positive all rights reserved registration on or use of this site constitutes acceptance of our terms of service and privacy policy disclaimer commerce policy made in nyc stock quotes by finanzennet
25	G14	musk apple ceo didnt take meeting about buying tesla tesla ceo elon musk says he once considered selling the electric car maker to apple but the iphone makers ceo blew off the meeting in a tweet tuesday
26	B15	great apple arcade games for your new iphone or ipad if you just picked up a new apple device and have signed up for arcade a new device gets you three months free the sheer
27	B15	personal cloud market significant demand foreseen by google microsoft apple inc amazon web services inc dropbox box in the forecast period from to the personal cloud market is projected to see market growth at a rate of the personal cloud market data bridge market research report offers analysis and
28	B16	benzingas final bulls and bears of the year alibaba apple intel tesla and more benzinga has examined the prospects for many investor favorite stocks over the past week the weeks bullish calls included
29	G16	steve jobs had it right adobe ends support for flash remember when having mobile flash on your android phone was a big deal but steve jobs refused to allow flash on ios and as it turned out all of the
30	B17	wearable fitness technology market analysis covering size share growth trends and upcoming opportunities in key players are nike inc qualcomm inc sony corp jawbone inc pebble technology corp fitbit inc apple inc xiaomi technology co ltd garmin ltd samsung electronics co ltd the dynamic nature of
31	G17	apples globalization plans meet a baton charge in india for more than a decade companies like apple inc have entertained the idea of evolving away from chinabased supply chains to have their devices made in
32	G17	still time to enter our mac mini giveaway from macstadium theres still time for readers to enter the mac mini giveaway from macstadium head below to enter
33	B18	slam technology market growing with major eminent key players apple inc microsoft corporation facebook inc alphabet inc the rising adoption of uav applications and the growing prevalence of mapping technology is driving the demand for the market this press release was orginally distributed by sbwi
34	G19	covid tracing app roundup all of the countries and us states that currently offer exposure notification apps if youre looking for your countrys or states official covid exposure notification system app you might not be able to find it thanks to the screwy way google is
35	B20	amazon slashes the apple watch price by for new year s an apple watch can help with all of those things and now is a great time to buy amazon cut off the apple watch series
36	G20	leaker points to potential multiple sizes of airpods pro on wednesday mr white a relatively wellknown and fairly trusted leaker tweeted that apple might be working on size variation for the unreleased airpods pro
